ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
5/31/2014,11521,8.26000022888184,8.26000022888184,0,2.40000009536743,4.30000019073486,1.55999994277954,0,37,106,224,1073,2783
6/1/2014,12582,9.02000045776367,9.02000045776367,0,2.29999995231628,5.26000022888184,1.46000003814697,0,30,94,170,1146,2614
6/2/2014,14944,13.6899995803833,7.42000007629395,6.26999998092651,8.64999961853027,4.67000007629395,0.370000004768372,0.00999999977648258,62,86,77,1215,2850
6/3/2014,4694,3.36999988555908,3.36999988555908,0,1.07000005245209,1.72000002861023,0.569999992847443,0,15,42,112,1271,2159
6/4/2014,8088,5.80000019073486,5.80000019073486,0,2.86999988555908,2.20000004768372,0.720000028610229,0,40,48,115,1237,2419
6/5/2014,8584,6.15000009536743,6.15000009536743,0,3.30999994277954,2.44000005722046,0.400000005960464,0,42,53,80,1265,2409
6/6/2014,2990,2.14000010490417,2.14000010490417,0,0.509999990463257,0.970000028610229,0.660000026226044,0,7,26,118,1289,2064
6/7/2014,10942,7.84999990463257,7.84999990463257,0,2.25,4.98999977111816,0.589999973773956,0.0199999995529652,30,90,80,1240,2419
6/8/2014,15501,11.1099996566772,11.1099996566772,0,5.8600001335144,4.17000007629395,1.0900000333786,0,88,127,199,1026,3216
6/9/2014,8294,5.94999980926514,5.94999980926514,0,1.22000002861023,3.85999989509583,0.850000023841858,0.00999999977648258,17,75,155,1193,2379
6/10/2014,4453,3.19000005722046,3.19000005722046,0,1.51999998092651,1.21000003814697,0.46000000834465,0,21,36,92,1291,2145
6/11/2014,6837,4.90000009536743,4.90000009536743,0,1.70000004768372,2.48000001907349,0.720000028610229,0,22,47,114,1257,2228
6/12/2014,4630,3.3199999332428,3.3199999332428,0,0.730000019073486,1.94000005722046,0.639999985694885,0.00999999977648258,10,52,85,1293,2091
6/13/2014,4451,3.19000005722046,3.19000005722046,0,1.13999998569489,1.58000004291534,0.469999998807907,0,15,38,102,1285,2111
6/14/2014,15023,10.7700004577637,10.7700004577637,0,3.51999998092651,5.67999982833862,1.57000005245209,0,53,167,264,956,3190
6/15/2014,6840,4.90000009536743,4.90000009536743,0,1.44000005722046,2.42000007629395,1.03999996185303,0,19,56,151,1214,2305
6/16/2014,6198,4.44000005722046,4.44000005722046,0,2.30999994277954,1.77999997138977,0.349999994039536,0,31,42,67,1300,2193
6/17/2014,13644,12.6400003433228,12.6400003433228,0,7.94000005722046,3.80999994277954,0.889999985694885,0.00999999977648258,54,78,127,1181,2817
6/18/2014,4904,3.51999998092651,3.51999998092651,0,0.610000014305115,2.34999990463257,0.560000002384186,0,9,44,98,1289,2114
6/19/2014,10504,10.9200000762939,10.9200000762939,0,8.13000011444092,2.04999995231628,0.75,0,46,38,118,1238,2634
6/20/2014,10867,7.78999996185303,7.78999996185303,0,2.28999996185303,4.90999984741211,0.579999983310699,0.0199999995529652,30,80,112,1218,2414
6/21/2014,13785,10.0900001525879,10.0900001525879,0,4.98000001907349,4.17000007629395,0.930000007152557,0,66,78,145,1151,2796
6/22/2014,13459,14.8100004196167,14.8100004196167,0,11.3599996566772,2.24000000953674,1.21000003814697,0.00999999977648258,57,51,167,1165,2953
6/23/2014,14475,11,11,0,6.21999979019165,4.21999979019165,0.560000002384186,0,71,92,95,1182,2833
6/24/2014,10481,7.51000022888184,7.51000022888184,0,3.10999989509583,3.89000010490417,0.509999990463257,0,41,69,92,1238,2418
6/25/2014,12151,12.0299997329712,12.0299997329712,0,8.59000015258789,3.07999992370605,0.360000014305115,0,55,60,89,1236,2708
6/26/2014,14108,10.2200002670288,10.2200002670288,0,4.84000015258789,4.71000003814697,0.670000016689301,0,64,99,113,1164,2778
6/27/2014,12549,12.3699998855591,12.3699998855591,0,8.64000034332275,2.72000002861023,1.00999999046326,0,54,63,145,1178,2818
6/28/2014,10032,7.28999996185303,7.28999996185303,0,2.47000002861023,3.75,1.05999994277954,0.00999999977648258,33,83,135,1189,2485
6/29/2014,13444,14.9499998092651,14.9499998092651,0,11.9499998092651,1.86000001430511,1.13999998569489,0,62,48,119,1211,2911
6/30/2014,13554,10.5600004196167,10.5600004196167,0,5.1399998664856,4.30999994277954,1.10000002384186,0,57,80,120,1183,2746
7/1/2014,17750,19.9599990844727,19.9599990844727,0,16.9799995422363,1.97000002861023,1.01999998092651,0,94,47,168,1131,3373
7/2/2014,11038,7.90999984741211,7.90999984741211,0,2.71000003814697,4.55999994277954,0.639999985694885,0.00999999977648258,38,83,123,1196,2527
7/3/2014,6740,4.82999992370605,4.82999992370605,0,1.30999994277954,2.90000009536743,0.620000004768372,0,19,64,106,1251,2234
7/4/2014,4963,3.55999994277954,3.55999994277954,0,0.0500000007450581,2.40000009536743,1.11000001430511,0,1,71,189,1179,2273
7/5/2014,18525,17.1100006103516,17.1100006103516,0,10.1999998092651,5.28000020980835,1.62000000476837,0.00999999977648258,70,143,235,992,3390
7/6/2014,6807,4.88000011444092,4.88000011444092,0,1.01999998092651,3.00999999046326,0.839999973773956,0.00999999977648258,14,55,162,1209,2275
7/7/2014,5471,3.92000007629395,3.92000007629395,0,0.810000002384186,2.16000008583069,0.949999988079071,0,11,59,124,1246,2194
7/8/2014,5131,3.6800000667572,3.6800000667572,0,1.03999996185303,1.52999997138977,1.10000002384186,0.00999999977648258,15,44,150,1231,2209
7/9/2014,10158,10.5100002288818,10.5100002288818,0,7.78999996185303,2.26999998092651,0.449999988079071,0,46,59,91,1244,2639
7/10/2014,6857,4.92000007629395,4.92000007629395,0,2,2.34999990463257,0.560000002384186,0.00999999977648258,29,55,97,1259,2286
7/11/2014,12560,13.9700002670288,13.9700002670288,0,11.460000038147,1.62000000476837,0.879999995231628,0,63,43,131,1203,2880
7/12/2014,4230,3.02999997138977,3.02999997138977,0,0.150000005960464,1.92999994754791,0.949999988079071,0.00999999977648258,2,53,223,1162,2269
7/13/2014,7076,5.07000017166138,5.07000017166138,0,0.490000009536743,3.20000004768372,1.38999998569489,0,8,108,193,1131,2464
7/14/2014,11592,11.7799997329712,11.7799997329712,0,8.67000007629395,2.13000011444092,0.920000016689301,0,56,57,161,1166,2852
7/15/2014,6825,4.8899998664856,4.8899998664856,0,2.59999990463257,1.83000004291534,0.46000000834465,0,37,44,88,1271,2296
7/16/2014,10128,10.3199996948242,10.3199996948242,0,7.5,2.29999995231628,0.529999971389771,0,45,48,94,1253,2593
7/17/2014,7357,5.26999998092651,5.26999998092651,0,1.44000005722046,2.89000010490417,0.939999997615814,0,20,50,144,1226,2303
7/18/2014,13466,13.0900001525879,13.0900001525879,0,9.25,2.80999994277954,1.02999997138977,0.00999999977648258,61,62,183,1134,2964
7/19/2014,14089,10.1000003814697,10.1000003814697,0,2.4300000667572,5.26000022888184,2.40000009536743,0.00999999977648258,35,106,310,989,2892
7/20/2014,20651,20.8700008392334,20.8700008392334,0,15.0200004577637,3.80999994277954,2.04999995231628,0,94,111,211,1024,3622
7/21/2014,15034,12.8900003433228,12.8900003433228,0,8,3.61999988555908,1.25999999046326,0.00999999977648258,71,66,202,1101,2992
7/22/2014,14244,13.8299999237061,13.8299999237061,0,9.60999965667725,3.24000000953674,0.980000019073486,0.00999999977648258,64,65,162,1149,2948
7/23/2014,14809,13.2799997329712,13.2799997329712,0,8.17000007629395,3.48000001907349,1.62000000476837,0,62,70,223,1085,3000
7/24/2014,15008,10.7600002288818,10.7600002288818,0,3.84999990463257,5.51999998092651,1.37000000476837,0.0199999995529652,56,138,216,1030,3026
7/25/2014,19770,19.2199993133545,19.2199993133545,0,14.0500001907349,4.17999982833862,0.980000019073486,0,94,74,137,1135,3290
7/26/2014,10040,7.19999980926514,7.19999980926514,0,2.5,3.53999996185303,1.16999995708466,0,36,56,184,1164,2486
7/27/2014,24068,25.0200004577637,25.0200004577637,0,18.5499992370605,5.15999984741211,1.29999995231628,0.00999999977648258,104,102,207,1027,3776
7/28/2014,4205,3.00999999046326,3.00999999046326,0,0.540000021457672,1.74000000953674,0.730000019073486,0,8,49,138,1245,2170
7/29/2014,6796,7.6399998664856,7.6399998664856,0,6.40000009536743,0.779999971389771,0.449999988079071,0,36,24,86,1294,2387
7/30/2014,15642,17.1499996185303,17.1499996185303,0,13.7299995422363,2.61999988555908,0.800000011920929,0,74,55,129,1182,3101
7/31/2014,10126,7.26000022888184,7.26000022888184,0,1.77999997138977,3.9300000667572,1.54999995231628,0,24,92,223,1101,2607
8/1/2014,12623,9.05000019073486,9.05000019073486,0,1.0900000333786,4.55000019073486,3.32999992370605,0.00999999977648258,16,104,293,1027,2690
8/2/2014,11717,8.39999961853027,8.39999961853027,0,2.79999995231628,3.6800000667572,1.91999995708466,0,40,78,207,1115,2606
8/3/2014,4919,3.52999997138977,3.52999997138977,0,0.600000023841858,2.11999988555908,0.810000002384186,0,8,46,128,1258,2149
8/4/2014,11553,11.2200002670288,11.2200002670288,0,7.1100001335144,2.75999999046326,1.35000002384186,0.00999999977648258,41,77,193,1129,2837
8/5/2014,13275,14.5299997329712,14.5299997329712,0,11.5200004577637,1.74000000953674,0.910000026226044,0.00999999977648258,64,45,169,1162,2988
8/6/2014,10382,7.44000005722046,7.44000005722046,0,2.36999988555908,4.25,0.819999992847443,0.00999999977648258,31,83,122,1204,2454
8/7/2014,13742,14.289999961853,14.289999961853,0,11.3000001907349,2.45000004768372,0.540000021457672,0,68,45,115,1212,2879
8/8/2014,13095,12.2399997711182,6.23000001907349,6,9.01000022888184,2.63000011444092,0.569999992847443,0.0199999995529652,70,46,95,1229,2719
8/9/2014,6764,4.84999990463257,4.84999990463257,0,1.37999999523163,2.5,0.970000028610229,0.00999999977648258,20,55,126,1239,2229
8/10/2014,14965,16.9799995422363,16.9799995422363,0,14.4700002670288,1.51999998092651,0.970000028610229,0.0199999995529652,78,35,142,1185,3059
8/11/2014,11096,7.96000003814697,7.96000003814697,0,2.50999999046326,4.73999977111816,0.699999988079071,0,34,82,104,1220,2434
8/12/2014,12670,12.8999996185303,12.8999996185303,0,8.77000045776367,3.25999999046326,0.860000014305115,0,47,64,162,1167,2818
8/13/2014,20819,21.8199996948242,21.8199996948242,0,17.3199996948242,3.82999992370605,0.649999976158142,0.00999999977648258,106,73,111,1150,3433
8/14/2014,8174,5.8600001335144,5.8600001335144,0,1.69000005722046,2.99000000953674,1.16999995708466,0.00999999977648258,23,68,149,1200,2361
8/15/2014,13632,14.7700004577637,14.7700004577637,0,11.1999998092651,2.41000008583069,1.1599999666214,0.00999999977648258,56,56,162,1166,2939
8/16/2014,3919,2.80999994277954,2.80999994277954,0,0.430000007152557,1.28999996185303,1.0900000333786,0,6,34,125,1275,2065
8/17/2014,13259,9.51000022888184,9.51000022888184,0,1.70000004768372,5.34000015258789,2.46000003814697,0.00999999977648258,29,164,257,990,2962
8/18/2014,11492,11.6899995803833,11.6899995803833,0,8.38000011444092,2.09999990463257,1.20000004768372,0,48,55,152,1185,2753
8/19/2014,15866,15.9399995803833,15.9399995803833,0,12.0500001907349,2.89000010490417,1,0,79,62,140,1159,3057
8/20/2014,7928,5.67999982833862,5.67999982833862,0,1.96000003814697,3.02999997138977,0.689999997615814,0,28,69,112,1231,2326
8/21/2014,9724,6.96999979019165,6.96999979019165,0,1.27999997138977,4.28000020980835,1.39999997615814,0.00999999977648258,18,101,217,1104,2538
8/22/2014,20127,19.4799995422363,19.4799995422363,0,13.3000001907349,4.67000007629395,1.5,0,83,127,273,957,3605
8/23/2014,28413,29.6000003814697,29.6000003814697,0,21.6900005340576,6.40000009536743,1.50999999046326,0,116,129,274,921,4186
8/24/2014,10321,7.40000009536743,7.40000009536743,0,1.04999995231628,5.42999982833862,0.920000016689301,0,14,100,108,1218,2335
8/25/2014,11392,11.3500003814697,11.3500003814697,0,7.51000022888184,3.08999991416931,0.740000009536743,0,41,70,100,1229,2619
8/26/2014,10000,7.17000007629395,7.17000007629395,0,1.27999997138977,4.76000022888184,1.11000001430511,0.00999999977648258,18,97,143,1182,2402
8/27/2014,10544,7.55999994277954,7.55999994277954,0,1.96000003814697,4.65999984741211,0.939999997615814,0,27,89,120,1204,2415
8/28/2014,3934,2.8199999332428,2.8199999332428,0,0.560000002384186,1.54999995231628,0.709999978542328,0,8,38,117,1277,2066
8/29/2014,2794,2,2,0,0.370000004768372,0.870000004768372,0.769999980926514,0,5,24,111,1300,1991
8/30/2014,8804,6.30999994277954,6.30999994277954,0,1.67999994754791,3.70000004768372,0.930000007152557,0,24,78,158,1180,2403
8/31/2014,13756,14.210000038147,14.210000038147,0,10.5299997329712,2.59999990463257,1.07000005245209,0,60,53,116,1211,2820
9/1/2014,14195,15.4099998474121,15.4099998474121,0,12.6599998474121,1.70000004768372,1.03999996185303,0.00999999977648258,73,38,219,1110,3123
9/2/2014,4416,3.17000007629395,3.17000007629395,0,0.930000007152557,1.5900000333786,0.639999985694885,0,14,43,112,1271,2109
9/3/2014,14945,15.9899997711182,15.9899997711182,0,12.0799999237061,3.10999989509583,0.810000002384186,0,64,62,113,1201,2943
9/4/2014,11652,10.9899997711182,10.9899997711182,0,7.92000007629395,2.51999998092651,0.550000011920929,0,57,47,97,1239,2616
9/5/2014,4899,3.50999999046326,3.50999999046326,0,0.519999980926514,2.10999989509583,0.889999985694885,0,7,46,125,1262,2109
9/6/2014,2511,1.79999995231628,1.79999995231628,0,0.200000002980232,0.959999978542328,0.629999995231628,0,3,28,116,1293,1997
9/7/2014,1742,1.25,1.25,0,0,0.689999997615814,0.560000002384186,0,0,21,98,1321,2463
9/8/2014,4534,3.25,3.25,0,0.449999988079071,2.03999996185303,0.759999990463257,0,6,63,130,1241,2156
9/9/2014,11039,11.3100004196167,11.3100004196167,0,8.26000022888184,1.94000005722046,1.10000002384186,0.00999999977648258,47,44,158,1191,2687
9/10/2014,11517,11.5900001525879,11.5900001525879,0,8.40999984741211,2.34999990463257,0.829999983310699,0,51,49,115,1225,2659
9/11/2014,9170,6.57000017166138,6.57000017166138,0,1.79999995231628,4.23999977111816,0.529999971389771,0.00999999977648258,25,76,95,1244,2319
9/12/2014,14582,17.4699993133545,17.4699993133545,0,15.960000038147,0.689999997615814,0.810000002384186,0,84,24,108,1224,3029
9/13/2014,12676,9.09000015258789,9.09000015258789,0,0.540000021457672,3.85999989509583,4.67999982833862,0,8,96,271,1065,2565
9/14/2014,16573,18.4699993133545,18.4699993133545,0,14.7399997711182,2.35999989509583,1.37000000476837,0,73,59,167,1141,3168
9/15/2014,28016,30.6900005340576,30.6900005340576,0,25.75,4.01000022888184,0.930000007152557,0,150,80,180,1030,4107
9/16/2014,5486,3.9300000667572,3.9300000667572,0,1.0900000333786,2.11999988555908,0.730000019073486,0,17,56,129,1238,2206
9/17/2014,19296,18.5699996948242,18.5699996948242,0,13.6000003814697,3.94000005722046,1.01999998092651,0.00999999977648258,96,87,141,1116,3295
9/18/2014,11640,13.1000003814697,13.1000003814697,0,10.9399995803833,1.5900000333786,0.560000002384186,0,56,43,107,1234,2769
9/19/2014,6469,4.6399998664856,4.6399998664856,0,1.19000005722046,2.50999999046326,0.939999997615814,0,16,50,138,1236,2195
9/20/2014,15718,17.1200008392334,17.1200008392334,0,13.3000001907349,2.46000003814697,1.35000002384186,0,68,59,171,1142,3061
9/21/2014,29233,33.1599998474121,33.1599998474121,0,28.75,3.25,1.14999997615814,0.00999999977648258,157,80,226,977,4317
9/22/2014,8482,6.07999992370605,6.07999992370605,0,1.72000002861023,2.98000001907349,1.37999999523163,0,24,77,193,1146,2429
9/23/2014,10798,11.5100002288818,11.5100002288818,0,9.34000015258789,1.49000000953674,0.660000026226044,0.0199999995529652,57,37,117,1229,2671
9/24/2014,19638,18.9500007629395,18.9500007629395,0,13.3699998855591,4.67000007629395,0.899999976158142,0,88,88,187,1077,3305
9/25/2014,7795,5.67999982833862,5.67999982833862,0,2.40000009536743,2.29999995231628,0.980000019073486,0,32,42,191,1175,2375
9/26/2014,15263,16.0200004577637,16.0200004577637,0,12.4200000762939,2.47000002861023,1.12999999523163,0.00999999977648258,73,61,152,1154,3033
9/27/2014,12688,9.10000038146973,9.10000038146973,0,3.61999988555908,4.01000022888184,1.46000003814697,0.00999999977648258,49,71,286,1034,2760
9/28/2014,24036,17.2299995422363,17.2299995422363,0,9.56999969482422,6.98999977111816,0.680000007152557,0,131,129,143,1037,3405
9/29/2014,19883,14.2600002288818,14.2600002288818,0,6.82999992370605,6.34000015258789,1.08000004291534,0,91,118,197,1034,3162
9/30/2014,6785,4.8600001335144,4.8600001335144,0,0.370000004768372,3.45000004768372,1.03999996185303,0.00999999977648258,5,76,151,1208,2225
10/1/2014,5770,4.1399998664856,4.1399998664856,0,1.80999994277954,1.92999994754791,0.389999985694885,0.00999999977648258,25,52,100,1263,2207
10/2/2014,9712,11.6300001144409,11.6300001144409,0,10.1700000762939,0.930000007152557,0.529999971389771,0,50,33,104,1253,2660
10/3/2014,5390,3.85999989509583,3.85999989509583,0,1.23000001907349,1.62999999523163,1,0,17,47,90,1286,2123
10/4/2014,8926,6.40000009536743,6.40000009536743,0,2.63000011444092,3.01999998092651,0.740000009536743,0.00999999977648258,38,76,145,1181,2456
10/5/2014,11137,7.98999977111816,7.98999977111816,0,3.5699999332428,3.80999994277954,0.600000023841858,0.00999999977648258,47,78,118,1197,2532
10/6/2014,7613,5.46000003814697,5.46000003814697,0,2.27999997138977,2.71000003814697,0.46000000834465,0.00999999977648258,31,55,73,1281,2232
10/7/2014,11904,8.53999996185303,8.53999996185303,0,3.78999996185303,4.38000011444092,0.370000004768372,0,49,73,71,1247,2466
10/8/2014,1526,1.0900000333786,1.0900000333786,0,0.129999995231628,0.569999992847443,0.389999985694885,0,2,21,71,1346,2456
10/9/2014,5074,3.64000010490417,3.64000010490417,0,1.03999996185303,1.91999995708466,0.660000026226044,0.00999999977648258,15,52,128,1245,2185
10/10/2014,6570,4.71000003814697,4.71000003814697,0,1.25999999046326,2.42000007629395,1.01999998092651,0,18,46,158,1218,2261
10/11/2014,9775,7.01000022888184,7.01000022888184,0,1.75999999046326,3.92000007629395,1.33000004291534,0,23,76,202,680,2455
10/12/2014,11067,11.5,11.5,0,8.13000011444092,1.82000005245209,1.54999995231628,0.00999999977648258,43,49,163,624,2693
10/13/2014,14748,13.9200000762939,13.9200000762939,0,8.35000038146973,3.24000000953674,2.3199999332428,0.0199999995529652,51,83,194,646,2931
10/14/2014,5765,4.13000011444092,4.13000011444092,0,1.52999997138977,1.96000003814697,0.639999985694885,0.00999999977648258,23,55,148,932,2294
10/15/2014,10618,12.1099996566772,12.1099996566772,0,10.4200000762939,1.12999999523163,0.540000021457672,0.00999999977648258,56,36,119,810,2750
10/16/2014,12507,13.4499998092651,13.4499998092651,0,10.5299997329712,2.04999995231628,0.870000004768372,0.00999999977648258,56,66,172,758,2920
10/17/2014,12176,8.72999954223633,8.72999954223633,0,1.23000001907349,5.90999984741211,1.5900000333786,0,18,118,208,704,2574
10/18/2014,19432,19.5100002288818,19.5100002288818,0,13.6099996566772,4.59999990463257,1.29999995231628,0.00999999977648258,77,110,238,665,3432
10/19/2014,19303,21.9300003051758,21.9300003051758,0,17.6900005340576,2.55999994277954,1.67999994754791,0.00999999977648258,86,61,275,467,3547
10/20/2014,9465,6.78999996185303,6.78999996185303,0,1.17999994754791,4.3899998664856,1.22000002861023,0,16,103,177,724,2459
10/21/2014,14220,13.1700000762939,13.1700000762939,0,7.48999977111816,3.98000001907349,1.70000004768372,0,46,99,192,650,2876
10/22/2014,7781,5.57999992370605,5.57999992370605,0,1.16999995708466,3.36999988555908,1.03999996185303,0,16,68,132,812,2224
10/23/2014,16517,16.4899997711182,16.4899997711182,0,11.3699998855591,2.75999999046326,2.35999989509583,0,66,62,147,686,2958
10/24/2014,8890,6.36999988555908,6.36999988555908,0,1.35000002384186,3.22000002861023,1.80999994277954,0,18,66,144,695,2262
10/25/2014,7416,5.32000017166138,5.32000017166138,0,1.19000005722046,2.79999995231628,1.32000005245209,0,16,68,179,605,2309
10/26/2014,5388,3.85999989509583,3.85999989509583,0,0.689999997615814,1.80999994277954,1.36000001430511,0,10,39,173,1218,2186
10/27/2014,8088,5.80000019073486,5.80000019073486,0,1.05999994277954,3.66000008583069,1.08000004291534,0,13,82,152,1155,2298
10/28/2014,15726,16.4099998474121,16.4099998474121,0,11.9200000762939,2.65000009536743,1.83000004291534,0,63,58,148,691,2956
10/29/2014,7136,5.11999988555908,5.11999988555908,0,0.930000007152557,2.21000003814697,1.97000002861023,0.00999999977648258,12,53,162,704,2213
10/30/2014,11432,8.19999980926514,8.19999980926514,0,2.17000007629395,4.44000005722046,1.58000004291534,0,30,87,164,867,2477
10/31/2014,8885,6.36999988555908,6.36999988555908,0,1.01999998092651,3.58999991416931,1.76999998092651,0,14,78,137,689,2271
11/1/2014,17343,16.1200008392334,16.1200008392334,0,13.5200004577637,1.86000001430511,0.720000028610229,0,110,38,110,1182,3098
11/2/2014,17622,21.1399993896484,21.1399993896484,0,11.1999998092651,1.20000004768372,0.939999997615814,0.00999999977648258,56,31,149,1204,3415
11/3/2014,8726,6.26000022888184,6.26000022888184,0,1.0900000333786,3.45000004768372,1.71000003814697,0.00999999977648258,15,69,181,1175,2333
11/4/2014,15707,14.2200002670288,14.2200002670288,0,8.22999954223633,4.30000019073486,1.67999994754791,0,55,81,167,1137,2854
11/5/2014,13750,13.8599996566772,13.8599996566772,0,9.65999984741211,2.64000010490417,1.55999994277954,0,54,64,129,1193,2762
11/6/2014,11051,7.92000007629395,7.92000007629395,0,2.16000008583069,3.86999988555908,1.88999998569489,0,29,88,141,1182,2430
11/7/2014,13465,12.2299995422363,10.9300003051758,1.29999995231628,6.26000022888184,3.05999994277954,2.91000008583069,0,36,68,164,1172,2618
11/8/2014,27175,31.3500003814697,31.3500003814697,0,28.0900001525879,2.07999992370605,1.17999994754791,0,152,41,240,1007,4141
11/9/2014,7949,5.69999980926514,5.69999980926514,0,1.21000003814697,3.32999992370605,1.1599999666214,0,16,62,166,1196,2283
11/10/2014,4536,3.25,3.25,0,0.829999983310699,1.72000002861023,0.699999988079071,0,11,33,120,1276,2065
11/11/2014,4241,3.03999996185303,3.03999996185303,0,0.540000021457672,1.60000002384186,0.899999976158142,0,8,51,148,1233,2160
11/12/2014,5935,4.26000022888184,4.26000022888184,0,1.80999994277954,1.99000000953674,0.46000000834465,0,24,40,112,1264,2195
11/13/2014,4967,3.55999994277954,3.55999994277954,0,0.970000028610229,2.13000011444092,0.46000000834465,0,14,49,62,1315,2062
11/14/2014,12135,8.69999980926514,8.69999980926514,0,3.02999997138977,5.21999979019165,0.449999988079071,0,39,85,73,1243,2438
11/15/2014,5215,3.74000000953674,3.74000000953674,0,1.10000002384186,1.9099999666214,0.720000028610229,0.00999999977648258,16,47,127,1250,2165
11/16/2014,5202,3.73000001907349,3.73000001907349,0,0.899999976158142,2.35999989509583,0.46000000834465,0.00999999977648258,12,35,99,1294,2060
11/17/2014,7581,5.44000005722046,5.44000005722046,0,0.519999980926514,3.44000005722046,1.48000001907349,0.00999999977648258,7,72,144,1217,2218
11/18/2014,11168,10.9300003051758,10.9300003051758,0,7.23000001907349,2.41000008583069,1.28999996185303,0,42,62,112,1224,2578
11/19/2014,7620,5.6399998664856,5.6399998664856,0,1.52999997138977,2.99000000953674,1.12999999523163,0,17,67,156,1200,2285
11/20/2014,6518,4.67000007629395,4.67000007629395,0,0.389999985694885,2.28999996185303,1.99000000953674,0,5,61,273,1101,2395
11/21/2014,7760,5.55999994277954,5.55999994277954,0,0.920000016689301,2.48000001907349,2.16000008583069,0,12,60,211,1157,2353
